id,label
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_1.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_2.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_3.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_4.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_5.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_6.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_7.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_8.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_9.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_10.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_11.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_12.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_13.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_14.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_15.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_16.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_17.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_18.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_19.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_20.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_21.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_22.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_23.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_24.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_25.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_26.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_27.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_28.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_29.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_30.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_31.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_32.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_33.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_34.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_35.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_36.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_37.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_38.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_39.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_40.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_41.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_42.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_43.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_44.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_45.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_46.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_47.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_48.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_49.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_50.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_51.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_52.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_53.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_54.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_55.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_56.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_57.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_58.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_59.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_60.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_61.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_62.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_63.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_64.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_65.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_66.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_67.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_68.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_69.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_70.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_71.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_72.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_73.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_74.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_75.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_76.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_77.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_78.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_79.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_80.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_81.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_82.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_83.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_84.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_85.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_86.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_87.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_88.mat,1
C:\Users\aki\Documents\GitHub\deep\DEM\crater\data_89.mat,1
